[0829/195823:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1104/202416:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202421:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202426:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202431:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202436:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202441:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202446:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202451:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202456:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202501:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202506:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202511:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202516:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202521:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202526:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202531:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202536:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202541:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202546:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202551:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202556:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202601:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202606:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202611:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202616:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202621:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202626:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202632:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202637:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202642:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202647:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202652:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202657:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202702:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202707:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202712:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202717:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202722:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202727:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202732:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202737:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202742:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202747:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202752:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202757:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202802:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202807:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202812:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202817:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202822:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202827:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202832:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202837:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202842:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202847:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202852:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202857:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202902:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202907:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202912:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202917:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202922:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202927:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202932:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202937:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202942:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202947:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202952:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/202957:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203002:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203007:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203012:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203017:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203022:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203027:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203032:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203037:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203042:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203047:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203052:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203057:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203102:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203107:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203112:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203117:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203122:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203127:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203132:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203137:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203142:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203147:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203152:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203157:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203202:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203207:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203212:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203217:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203222:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203227:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203232:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203237:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203242:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203247:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203252:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203257:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203302:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203307:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203312:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203317:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203322:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203327:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203332:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203337:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203342:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203347:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203352:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203357:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203402:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203407:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203412:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203417:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203422:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203427:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203432:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203437:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203442:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203447:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203452:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203457:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203502:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203507:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203512:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203517:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203522:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203527:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203532:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203537:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203542:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203547:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203552:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203557:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203602:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203607:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203612:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203617:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203622:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203627:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203632:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203637:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203642:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203647:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203652:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203657:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203702:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203707:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203712:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203717:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203722:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203727:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203732:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203737:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203742:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203747:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203752:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203757:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203802:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203807:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203812:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203817:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203822:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203827:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203832:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203837:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203842:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203847:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203852:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203857:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203902:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203907:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203912:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203917:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203922:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203927:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203932:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203937:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203942:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203947:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203952:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/203957:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204002:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204007:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204012:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204017:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204022:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204027:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204032:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204037:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204042:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204047:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204052:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204057:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1104/204102:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1115/182830:ERROR:tcp_socket_win.cc(335)] bind() returned an error: Обычно разрешается только одно использование адреса сокета (протокол/сетевой адрес/порт). (0x2740)
[1115/182830:ERROR:devtools_http_handler.cc(229)] Cannot start http server for devtools. Stop devtools.
[0915/211105:INFO:CONSOLE(0)] "The source list for Content Security Policy directive 'script-src' contains an invalid source: ''report-sample''. It will be ignored.", source: https://www.altium.com/ad-start/ (0)
[0915/211105:INFO:CONSOLE(0)] "Unrecognized Content-Security-Policy directive 'worker-src'.
", source: https://www.altium.com/ad-start/ (0)
[0228/222348:ERROR:backend_impl.cc(2020)] Corrupt Index file
[0228/222348:ERROR:cache_util_win.cc(20)] Unable to move the cache: 5
[0228/222348:ERROR:cache_util.cc(134)] Unable to move cache folder C:\ProgramData\Altium\Altium Designer {2A511CB9-BC7B-42E1-B7FA-85E937856991}\BrowserCache to C:\ProgramData\Altium\Altium Designer {2A511CB9-BC7B-42E1-B7FA-85E937856991}\old_BrowserCache_000
[0228/222348:ERROR:cache_creator.cc(129)] Unable to create cache
[0228/222350:INFO:CONSOLE(4)] "Download the React DevTools for a better development experience: http://fb.me/react-devtools", source: https://cms.wifizone.me/static/js/mainMobile.js (4)
[0228/222350:INFO:CONSOLE(8)] "Warning: Something is calling a React component directly. Use a factory or JSX instead. See: http://fb.me/react-legacyfactory", source: https://cms.wifizone.me/static/js/mainMobile.js (8)
[0228/222350:INFO:CONSOLE(8)] "Warning: Page is calling a React component directly. Use a factory or JSX instead. See: http://fb.me/react-legacyfactory", source: https://cms.wifizone.me/static/js/mainMobile.js (8)
[0228/222350:INFO:CONSOLE(8)] "Warning: IFrame is calling a React component directly. Use a factory or JSX instead. See: http://fb.me/react-legacyfactory", source: https://cms.wifizone.me/static/js/mainMobile.js (8)
[0228/222351:INFO:CONSOLE(8)] "Warning: AuthComponent is calling a React component directly. Use a factory or JSX instead. See: http://fb.me/react-legacyfactory", source: https://cms.wifizone.me/static/js/mainMobile.js (8)
[0228/222359:INFO:CONSOLE(8)] "Warning: CallFront is calling a React component directly. Use a factory or JSX instead. See: http://fb.me/react-legacyfactory", source: https://cms.wifizone.me/static/js/mainMobile.js (8)
[0228/222359:INFO:CONSOLE(6)] "Each child in an array should have a unique "key" prop. Check the render method of InputPhone. See http://fb.me/react-warning-keys for more information.", source: https://cms.wifizone.me/static/js/mainMobile.js (6)
[0228/222359:INFO:CONSOLE(8)] "Warning: InputPhone is calling a React component directly. Use a factory or JSX instead. See: http://fb.me/react-legacyfactory", source: https://cms.wifizone.me/static/js/mainMobile.js (8)
[0228/222359:INFO:CONSOLE(8)] "Warning: Use the `defaultValue` or `value` props on <select> instead of setting `selected` on <option>.", source: https://cms.wifizone.me/static/js/mainMobile.js (8)
[0228/222359:INFO:CONSOLE(8)] "Warning: Use the `defaultValue` or `value` props on <select> instead of setting `selected` on <option>.", source: https://cms.wifizone.me/static/js/mainMobile.js (8)
[0228/222404:INFO:CONSOLE(1)] "(Yandex Maps JS API): Invalid API key", source: https://api-maps.yandex.ru/2.1/?lang=ru_RU&coordorder=latlong&onload=t_handleYandexApiReady_432477444&apikey=139389741024 (1)
[0228/222407:ERROR:webrtcsession.cc(1388)] ConnectDataChannel called when data_channel_ is NULL.
[0228/222407:WARNING:mediasession.cc(376)] Duplicate id found. Reassigning from 101 to 127
